iter	Passed	Remaining
526	1704	1529
527	1706	1525
528	1708	1521
529	1712	1518
530	1713	1513
531	1715	1508
532	1718	1506
533	1721	1502
534	1722	1497
535	1725	1493
536	1727	1489
537	1729	1484
538	1730	1479
539	1732	1475
540	1737	1474
541	1739	1469
542	1740	1465
543	1742	1460
544	1743	1455
545	1744	1450
546	1745	1445
547	1749	1442
548	1751	1439
549	1754	1435
550	1755	1430
551	1758	1427
552	1761	1423
553	1762	1419
554	1766	1416
555	1767	1411
556	1769	1407
557	1770	1402
558	1772	1398
559	1773	1393
560	1775	1389
561	1777	1384
562	1780	1382
563	1782	1377
564	1783	1373
565	1785	1368
566	1786	1364
567	1788	1360
568	1789	1355
569	1791	1351
570	1792	1346
571	1796	1343
572	1797	1339
573	1799	1335
574	1801	1331
575	1802	1326
576	1803	1322
577	1805	1318
578	1806	1313
579	1808	1309
580	1811	1306
581	1812	1302
582	1814	1297
583	1816	1293
584	1817	1289
585	1819	1285
586	1820	1281
587	1822	1276
588	1824	1272
589	1827	1269
590	1829	1265
591	1830	1261
592	1832	1257
593	1833	1253
594	1835	1249
595	1836	1245
596	1838	1240
597	1841	1238
598	1844	1234
599	1846	1230
600	1849	1228
601	1853	1225
602	1858	1223
603	1859	1219
604	1861	1215
605	1862	1211
606	1864	1207
607	1866	1203
608	1868	1199
609	1869	1195
610	1872	1192
611	1873	1188
612	1876	1184
613	1878	1180
614	1879	1176
615	1881	1172
616	1882	1168
617	1883	1164
618	1886	1161
619	1889	1157
620	1891	1154
621	1892	1150
622	1893	1146
623	1895	1142
624	1896	1138
625	1898	1134
626	1900	1130
627	1902	1126
628	1904	1123
629	1905	1119
630	1906	1115
631	1908	1111
632	1909	1107
633	1911	1103
634	1912	1099
635	1916	1096
636	1918	1093
637	1919	1089
638	1921	1085
639	1922	1081
640	1923	1077
641	1925	1073
642	1926	1069
643	1930	1067
644	1932	1063
645	1933	1059
646	1935	1056
647	1937	1052
648	1938	1048
649	1941	1045
650	1943	1041
651	1946	1038
652	1948	1035
653	1949	1031
654	1951	1027
655	1953	1024
656	1954	1020
657	1956	1016
658	1958	1013
659	1960	1009
660	1961	1006
661	1963	1002
662	1965	999
663	1968	995
664	1970	992
665	1973	989
666	1974	986
667	1976	982
668	1978	978
669	1983	977
670	1987	974
671	1989	971
672	1991	967
673	1993	964
674	1995	960
675	1998	957
676	1999	953
677	2003	951
678	2004	947
679	2006	944
680	2008	940
681	2010	937
682	2011	933
683	2013	929
684	2014	926
685	2017	923
686	2020	920
687	2022	917
688	2023	913
689	2025	909
690	2026	906
691	2028	902
692	2029	899
693	2033	896
694	2035	893
695	2037	889
696	2038	886
697	2040	883
698	2042	879
699	2044	876
700	2046	872
701	2048	869
702	2050	866
703	2051	862
704	2053	859
705	2054	855
706	2056	852
707	2057	848
708	2059	845
709	2063	842
710	2064	839
711	2066	835
712	2068	832
713	2069	829
714	2071	825
715	2072	822
716	2074	818
717	2075	815
718	2078	812
719	2080	808
720	2081	805
721	2083	802
722	2084	798
723	2086	795
724	2087	791
725	2089	788
726	2091	785
727	2093	782
728	2094	778
729	2096	775
730	2098	772
731	2099	768
732	2100	765
733	2102	761
734	2103	758
735	2104	755
736	2107	752
737	2109	748
738	2111	745
739	2114	742
740	2116	739
741	2117	736
742	2119	733
743	2121	730
744	2123	726
745	2126	723
746	2128	720
747	2130	717
748	2132	714
749	2134	711
750	2135	708
751	2139	705
752	2141	702
753	2142	699
754	2144	695
755	2145	692
756	2147	689
757	2150	686
758	2156	684
759	2158	681
760	2159	678
761	2161	675
762	2163	671
763	2166	669
764	2169	666
765	2171	663
766	2173	660
767	2175	657
768	2176	653
769	2178	650
770	2180	647
771	2181	644
772	2186	642
773	2188	638
774	2190	635
775	2191	632
776	2193	629
777	2195	626
778	2200	624
779	2202	621
780	2205	618
781	2206	615
782	2208	612
783	2210	608
784	2211	605
785	2215	603
786	2217	600
787	2218	596
788	2220	593
789	2223	590
790	2225	587
791	2226	584
792	2227	581
793	2231	578
794	2232	575
795	2234	572
796	2236	569
797	2238	566
798	2241	563
799	2243	560
800	2245	557
801	2247	554
802	2248	551
803	2250	548
804	2252	545
805	2253	542
806	2255	539
807	2256	536
808	2260	533
809	2262	530
810	2264	527
811	2266	524
812	2267	521
813	2269	518
814	2270	515
815	2272	512
816	2278	510
817	2279	507
818	2281	504
819	2282	501
820	2284	498
821	2285	494
822	2287	491
823	2291	489
824	2292	486
825	2294	483
826	2295	480
827	2297	477
828	2298	474
829	2300	471
830	2301	468
831	2302	464
832	2306	462
833	2308	459
834	2309	456
835	2310	453
836	2312	450
837	2313	447
838	2314	444
839	2316	441
840	2317	438
841	2321	435
842	2323	432
843	2324	429
844	2326	426
845	2328	423
846	2329	420
847	2330	417
848	2332	414
849	2333	411
850	2336	409
851	2338	406
852	2339	403
853	2340	400
854	2342	397
855	2343	394
856	2345	391
857	2346	388
858	2347	385
859	2350	382
860	2352	379
861	2353	376
862	2355	373
863	2356	370
864	2357	368
865	2359	365
866	2360	362
867	2362	359
868	2363	356
869	2366	353
870	2368	350
871	2370	347
872	2374	345
873	2376	342
874	2378	339
875	2382	337
876	2384	334
877	2386	331
878	2388	328
879	2389	325
880	2390	322
881	2392	320
882	2393	317
883	2397	314
884	2400	311
885	2401	309
886	2403	306
887	2404	303
888	2406	300
889	2408	297
890	2413	295
891	2415	292
892	2417	289
893	2419	286
894	2421	284
895	2423	281
896	2424	278
897	2428	275
898	2430	273
899	2431	270
900	2433	267
901	2435	264
902	2437	261
903	2440	259
904	2444	256
905	2445	253
906	2447	250
907	2448	248
908	2449	245
909	2451	242
910	2453	239
911	2455	236
912	2457	234
913	2458	231
914	2459	228
915	2461	225
916	2462	222
917	2464	220
918	2465	217
919	2466	214
920	2468	211
921	2472	209
922	2474	206
923	2475	203
924	2477	200
925	2478	198
926	2479	195
927	2481	192
928	2482	189
929	2486	187
930	2488	184
931	2490	181
932	2492	178
933	2493	176
934	2494	173
935	2496	170
936	2497	167
937	2499	165
938	2502	162
939	2505	159
940	2507	157
941	2509	154
942	2514	151
943	2518	149
944	2520	146
945	2521	143
946	2523	141
947	2524	138
948	2526	135
949	2528	133
950	2529	130
951	2533	127
952	2535	125
953	2536	122
954	2538	119
955	2541	116
956	2542	114
957	2544	111
958	2545	108
959	2549	106
960	2551	103
961	2553	100
962	2555	98
963	2556	95
964	2558	92
965	2559	90
966	2562	87
967	2565	84
968	2567	82
969	2568	79
970	2569	76
971	2571	74
972	2572	71
973	2574	68
974	2575	66
975	2578	63
976	2580	60
977	2581	58
978	2583	55
979	2584	52
980	2585	50
981	2586	47
982	2588	44
983	2589	42
984	2591	39
985	2594	36
986	2596	34
987	2597	31
988	2598	28
989	2599	26
990	2601	23
991	2602	20
992	2603	18
993	2605	15
994	2606	13
995	2609	10
996	2610	7
997	2612	5
998	2614	2
999	2616	0
